sample_rank,source_id,title,publication_year,doi,sample_hash,source_format,paper_pages,run_count,process_row_count,evidence_row_count,existing_issue_count,verdict
1,LIT_0C298FD36DDDBFF2,"Waste plastics recycling for producing high-value carbon nanotubes: Investigation of the influence of Manganese content in Fe-based catalysts",2020,10.1016/j.jhazmat.2020.123726,03e275ef8762619fe45cdc5a58567c59f3fac153626e114bd631ec708c88b252,PDF,21,5,10,35,5,需修正
2,LIT_29053831AED49C65,"Growth of aligned carbon nanotubes by plasma-enhanced chemical vapor deposition: Optimization of growth parameters",2001,10.1063/1.1382848,0a3f6ada56379d15cce162dff9fdcc61d0d78877a2430c86bbc7fec595c8b956,PDF,5,14,14,56,1,限定通过
3,LIT_70C62F9DC9DF53B4,"Carbon Nanotube Fibers Prepared by Activating Deactivated Iron Particles in Floating Catalyst Chemical Vapor Deposition Tail Gas",2017,10.5755/j01.ms.23.3.17050,0be068db14601bfe85f53a6d3b838493876d88a33a5b08e339a0b7e6e9fc4295,PDF,6,2,2,8,0,需修正
4,LIT_66DB00E917C24EAC,"Application of Carbon Nanotubes from Waste Plastics As Filler to Epoxy Resin Composite",2022,10.1021/acssuschemeng.1c07776,0d8a97a0e472f5e6c9f6528e57de8c4a1c552ca747b1608e0d0f020f4c6bbbac,PDF,11,6,6,24,1,需修正
5,LIT_0B337E3E2AB8B340,"In Situ Synthesis of Carbon Nanotube–Steel Slag Composite for Pb(II) and Cu(II) Removal from Aqueous Solution",2022,10.3390/nano12071199,18e2ab0d4ae1a638ab7b5ca30f0895ff20ab2210c13994fed4b3a177a9654561,HTML,,9,9,55,9,需修正
6,LIT_CA678F825E54BE45,"Synthesis of Carbon Nanotubes in Thermal Plasma Reactor at Atmospheric Pressure",2017,10.3390/nano7020045,2193d9cc8e8f894b532481dfd7ca508e6ab2594cdb1dfc7627ea642f683118be,HTML,,1,1,4,0,需修正
7,LIT_308D1442E521B6DD,"Organized growth of carbon nanotubes on Fe-doped alumina ceramic substrates",2012,10.1016/j.carbon.2012.02.034,2303f10a44c774bd9fc0245a9c376149443653fbd334a2d0362c837c2d12932d,PDF,6,1,1,4,1,限定通过
8,LIT_436402DA7A57D194,"Catalytic Production of Carbon Nanotubes by Fluidized‐Bed CVD",2007,10.1002/cvde.200600036,2967d0560813ecd48645cea68c0a82d585bbdb2a813727ea083cc1d2fa68c794,PDF,12,9,9,36,1,限定通过
9,LIT_BD24584C41DAE4DD,"The Phase of Iron Catalyst Nanoparticles during Carbon Nanotube Growth",2012,10.1021/cm301402g,2b3068eb30ec14e9381ae57b06956597695eb0d8e1857a6939cdd6b85f69779a,PDF,24,3,3,12,0,限定通过
10,LIT_87B8240D8CDFE77C,"The Infinite Possible Growth Ambients that Support Single-Wall Carbon Nanotube Forest Growth",2013,10.1038/srep03334,2c8d901989bc72590deb3a3368478e3bd50b09d6a58859f884089bb0ea805b9e,PDF,6,9,9,36,9,重大修正
