evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P002_0001,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_000,catalyst_system,CAT_FEMO_MGO_30WT_2TO1,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF pp. 2-3, Catalyst preparation and Fig. 1; PDF pp. 7-9, XRD discussion",Fig. 1,"30 wt% FeMo/MgO with Fe:Mo=2:1 mass was prepared by impregnation, dried at 90 °C and calcined at 500 °C; non-reduced routes form carbide phases during growth.","FeMo/MgO, non-pre-reduced; Fe; Mo; incipient/wet impregnation by slowly adding Mo solution into Fe solution, then depositing mixed solution on MgO",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0002,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_025,catalyst_system,CAT_FEMO_MGO_30WT_2TO1,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2-3 and 9-11,not_reported,Same FeMo/MgO catalyst preparation as all H2-ratio runs.,"FeMo/MgO, non-pre-reduced; Fe; Mo; impregnation; slowly add Mo solution into Fe solution, deposit on MgO",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0003,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_050,catalyst_system,CAT_FEMO_MGO_30WT_2TO1,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2-3 and 9-11,not_reported,Same FeMo/MgO catalyst preparation as all H2-ratio runs.,"FeMo/MgO, non-pre-reduced; Fe; Mo; impregnation",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0004,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_100,catalyst_system,CAT_FEMO_MGO_30WT_2TO1,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2-3 and 7-10,not_reported,Same non-pre-reduced FeMo/MgO catalyst as nR-wH2 overview run.,"FeMo/MgO, non-pre-reduced; Fe; Mo; impregnation",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0005,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_150,catalyst_system,CAT_FEMO_MGO_30WT_2TO1,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2-3 and 9-11,not_reported,Same FeMo/MgO catalyst preparation as all H2-ratio runs.,"FeMo/MgO, non-pre-reduced; Fe; Mo; impregnation",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0006,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_000,catalyst_system,CAT_FEMO_MGO_30WT_2TO1,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2-4 and 6-9,not_reported,H2 pre-reduction generated metallic FeMo phases and much higher CNT yield.,"FeMo/MgO, H2 pre-reduced; Fe; Mo; impregnation",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0007,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_100,catalyst_system,CAT_FEMO_MGO_30WT_2TO1,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2-4 and 6-10,not_reported,Same H2-pre-reduced FeMo/MgO catalyst with H2 also present during CNT growth.,"FeMo/MgO, H2 pre-reduced; Fe; Mo; impregnation",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0008,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_000,reactor_process_gas,NR000_S01_HEATING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF p. 2, CNTs synthesis; PDF p. 4, Table 2",Table 2,Non-reduced catalyst was heated under N2; no H2 pre-reduction.,"heating; 900; N2 only; Internal conflict: text reports 10 °C/min, while Table 2 reports 30-900 °C over 40 min.",medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0009,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_000,reactor_process_gas,NR000_S02_GROWTH,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF p. 4, Table 2; PDF p. 11, Table 4",Table 2; Table 4,Growth at 900 °C for 180 min under CH4/N2 50/150 ml/min.,growth; 900; CH4:N2 = 50:150 sccm; Reported condition; no H2 co-feed.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0010,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_000,reactor_process_gas,NR000_S03_COOLING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF p. 2, CNTs synthesis",not_reported,System was cooled to room temperature in N2 gas flow.,cooling; N2 only; flow not reported,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0011,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_025,reactor_process_gas,NR025_S01_HEATING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2 and 4,not_reported,Same non-reduced heating stage as concentration series.,heating; 900; N2 only; Heating schedule conflict retained; no H2 pre-reduction.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0012,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_025,reactor_process_gas,NR025_S02_GROWTH,record_level,record_support,calculated,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF pp. 9-11, H2 concentration section and Table 4",section and; Table 4,CH4:H2=50:25 ml/min; N2 adjusted total flow to 200 ml/min.,growth; 900; CH4:H2:N2 = 50:25:125 sccm; [calculated] N2 = 200 - 50 CH4 - 25 H2 = 125 sccm.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0013,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_025,reactor_process_gas,NR025_S03_COOLING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF p. 2,not_reported,System was cooled to room temperature in N2 gas flow.,cooling; N2 only; flow not reported,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0014,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_050,reactor_process_gas,NR050_S01_HEATING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2 and 4,not_reported,Same non-reduced heating stage as concentration series.,heating; 900; N2 only; Heating schedule conflict retained; no H2 pre-reduction.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0015,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_050,reactor_process_gas,NR050_S02_GROWTH,record_level,record_support,calculated,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF pp. 9-11, Figs. 11-12 and Table 4",Figs.; Table 4,CH4:H2=1:1 gave the highest g-CNT/g-catalyst in the concentration series.,"growth; 900; CH4:H2:N2 = 50:50:100 sccm; [calculated] N2 = 200 - 50 CH4 - 50 H2 = 100 sccm. Authors identify CH4:H2=1:1 as the optimum ratio within this non-reduced series, not an optimum temperature.",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0016,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_050,reactor_process_gas,NR050_S03_COOLING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF p. 2,not_reported,System was cooled to room temperature in N2 gas flow.,cooling; N2 only; flow not reported,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0017,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_100,reactor_process_gas,NR100_S01_HEATING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF pp. 2 and 4, Table 2",Table 2,nR-wH2 uses N2-only heating before growth.,heating; 900; N2 only; Heating schedule conflict retained; no H2 pre-reduction.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0018,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_100,reactor_process_gas,NR100_S02_GROWTH,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF p. 4, Table 2; PDF pp. 9-11",Table 2,nR-wH2 growth at 900 °C for 180 min with CH4/N2/H2=50/50/100 ml/min.,growth; 900; CH4:H2:N2 = 50:100:50 sccm; Reported in Table 2 and concentration series.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0019,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_100,reactor_process_gas,NR100_S03_COOLING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF p. 2,not_reported,System was cooled to room temperature in N2 gas flow.,cooling; N2 only; flow not reported,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0020,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_150,reactor_process_gas,NR150_S01_HEATING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF pp. 2 and 4,not_reported,Same non-reduced heating stage as concentration series.,heating; 900; N2 only; Heating schedule conflict retained; no H2 pre-reduction.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0021,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_150,reactor_process_gas,NR150_S02_GROWTH,record_level,record_support,calculated,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF pp. 9-11, Table 4",Table 4,Excess-H2 condition CH4:H2=1:3 at total 200 ml/min.,growth; 900; CH4:H2:N2 = 50:150:0 sccm; [calculated] N2 = 200 - 50 CH4 - 150 H2 = 0 sccm.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0022,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_150,reactor_process_gas,NR150_S03_COOLING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF p. 2,not_reported,System was cooled to room temperature in N2 gas flow.,cooling; N2 only; flow not reported,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0023,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_000,reactor_process_gas,R000_S01_REDUCTION,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF pp. 2 and 4, Table 2",Table 2,H2 pre-reduction used N2/H2=50/100 ml/min while heating to 900 °C.,reduction; 900; N2:H2 = 50:100 sccm; Internal conflict: 10 °C/min in text versus 30-900 °C over 40 min in Table 2.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0024,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_000,reactor_process_gas,R000_S02_GROWTH,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF p. 4, Table 2; PDF p. 7, Table 3",Table 2; Table 3,R-woH2 growth at 900 °C for 180 min under CH4/N2=50/150 ml/min.,growth; 900; CH4:N2 = 50:150 sccm; Highest-yield overview condition; no H2 co-feed after H2 pre-reduction.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0025,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_000,reactor_process_gas,R000_S03_COOLING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF p. 2,not_reported,System was cooled to room temperature in N2 gas flow.,cooling; N2 only; flow not reported,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0026,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_100,reactor_process_gas,R100_S01_REDUCTION,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF p. 4, Table 2",Table 2,Same H2 pre-reduction as R-woH2.,reduction; 900; N2:H2 = 50:100 sccm; Heating-duration conflict retained.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0027,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_100,reactor_process_gas,R100_S02_GROWTH,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF p. 4, Table 2; PDF p. 7, Table 3",Table 2; Table 3,R-wH2 growth at 900 °C for 180 min under CH4/N2/H2=50/50/100 ml/min.,growth; 900; CH4:H2:N2 = 50:100:50 sccm; H2 combined process: H2 in pre-reduction and growth.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0028,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_R_H2_100,reactor_process_gas,R100_S03_COOLING,record_level,record_support,reported,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,PDF p. 2,not_reported,System was cooled to room temperature in N2 gas flow.,cooling; N2 only; flow not reported,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P002_0029,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,PAPER_2023_48456Z_NR_H2_000,yield_quality,PROD_48456Z_NR_H2_000,record_level,record_support,calculated,Experimental; Roles of hydrogen; Tables 2-4; Figs. 3-12,"PDF pp. 5-7 and 11, Tables 3-4",Tables,"Table 3/4 reports 0.85 g-CNT/g-cat, 10.16% carbon yield, 52.81% TGA carbon, 29.28±25.03 nm and IG/ID 3.14±0.61.",10.16% carbon yield based on carbon feed; 0.85 g-CNTs/g-catalysts; MWCNT-reported heterogeneous CNT/carbon product; exact wall-count distribution uncertain; dense CNTs with some amorphous carbon; highly non-uniform diameter distribution,high,not_applicable,migrated_from_v0.3_row_evidence
