evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P003_0001,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE,catalyst_system,P003_FE_CAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.2; pp.3-6, Figs. 1 and 3",section 2.2; Figs.,Catalysts prepared by impregnation/hydrothermal treatment; Fe=0.03 mol/mol MgO and specified Mo loading.,Fe/MgO; Fe; impregnation followed by hydrothermal treatment,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0002,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO01,catalyst_system,P003_FE_MO01_CAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.2; pp.3-6, Figs. 1 and 3",section 2.2; Figs.,Catalysts prepared by impregnation/hydrothermal treatment; Fe=0.03 mol/mol MgO and specified Mo loading.,Fe-0.1Mo/MgO; Fe; Mo; impregnation followed by hydrothermal treatment,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0003,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO05,catalyst_system,P003_FE_MO05_CAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.2; pp.3-6, Figs. 1 and 3",section 2.2; Figs.,Catalysts prepared by impregnation/hydrothermal treatment; Fe=0.03 mol/mol MgO and specified Mo loading.,Fe-0.5Mo/MgO; Fe; Mo; impregnation followed by hydrothermal treatment,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0004,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO1,catalyst_system,P003_FE_MO1_CAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.2; pp.3-6, Figs. 1 and 3",section 2.2; Figs.,Catalysts prepared by impregnation/hydrothermal treatment; Fe=0.03 mol/mol MgO and specified Mo loading.,Fe-1Mo/MgO; Fe; Mo; impregnation followed by hydrothermal treatment,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0005,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_MO,catalyst_system,P003_MO_CAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.2; pp.3-6, Figs. 1 and 3",section 2.2; Figs.,Catalysts prepared by impregnation/hydrothermal treatment; Fe=0.03 mol/mol MgO and specified Mo loading.,Mo/MgO; Mo; impregnation followed by hydrothermal treatment,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0006,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE,reactor_process_gas,P003_FE_HEAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst was heated to 850 C at 10 C/min in helium.,heating; 850; He heating atmosphere; Fresh catalyst heated to growth temperature in He.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0007,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE,reactor_process_gas,P003_FE_GROWTH,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Pure CH4 at 20 mL/min was introduced for 30 min at 850 C.,growth; 850; pure CH4; Methane catalytic pyrolysis; 30 min product values.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0008,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE,reactor_process_gas,P003_FE_COOL,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Reactor cooled in helium.,cooling; He cooling atmosphere,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0009,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO01,reactor_process_gas,P003_FE_MO01_HEAT,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,150 mg catalyst was heated to 850 C at 10 C/min in helium.,heating; 850; He heating atmosphere; Fresh catalyst heated to growth temperature in He.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P003_0010,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_FE_MO01,reactor_process_gas,P003_FE_MO01_GROWTH,record_level,record_support,reported,Experimental 2.2-2.4; Results 3.1-3.4; Figs. 1-3,"p.2, section 2.3",section 2.3,Pure CH4 at 20 mL/min was introduced for 30 min at 850 C.,growth; 850; pure CH4; Methane catalytic pyrolysis; 30 min product values.,high,not_applicable,migrated_from_v0.3_row_evidence
