run_id,process_stage_id,stage_order,stage_type,reactor_type,scale_level,reactor_material,reactor_size_summary,reactor_setup_summary,catalyst_loading_mass_g,temperature_setpoint_C,temperature_range_reported_C,temperature_program_summary,holding_time_min,heating_rate_C_min,cooling_condition,pressure_original,pressure_kPa,carbon_source,carbon_source_flow_original,carbon_source_flow_sccm,reducing_gas,reducing_gas_flow_original,reducing_gas_flow_sccm,inert_gas,inert_gas_flow_original,inert_gas_flow_sccm,cofeed_or_reactive_gas,cofeed_flow_original,cofeed_flow_sccm,total_flow_original,total_flow_sccm,gas_composition_summary,GHSV_or_residence_time,process_note
P003_FE,P003_FE_HEAT,1,heating,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,850,not_reported,not_reported,not_reported,10,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He heating atmosphere; He flow, rate not reported",not_reported,Fresh catalyst heated to growth temperature in He.
P003_FE,P003_FE_GROWTH,2,growth,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,850,not_reported,not_reported,30,not_reported,not_applicable,not_reported,not_reported,CH4,20 mL/min,20,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,20 mL/min,20,pure CH4,not_reported,Methane catalytic pyrolysis; 30 min product values.
P003_FE,P003_FE_COOL,3,cooling,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,not_reported,not_reported,not_reported,not_reported,not_reported,cooled to room temperature in He,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He cooling atmosphere; He flow, rate not reported",not_reported,not_reported
P003_FE_MO01,P003_FE_MO01_HEAT,1,heating,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,850,not_reported,not_reported,not_reported,10,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He heating atmosphere; He flow, rate not reported",not_reported,Fresh catalyst heated to growth temperature in He.
P003_FE_MO01,P003_FE_MO01_GROWTH,2,growth,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,850,not_reported,not_reported,30,not_reported,not_applicable,not_reported,not_reported,CH4,20 mL/min,20,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,20 mL/min,20,pure CH4,not_reported,Methane catalytic pyrolysis; 30 min product values.
P003_FE_MO01,P003_FE_MO01_COOL,3,cooling,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,not_reported,not_reported,not_reported,not_reported,not_reported,cooled to room temperature in He,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He cooling atmosphere; He flow, rate not reported",not_reported,not_reported
P003_FE_MO05,P003_FE_MO05_HEAT,1,heating,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,850,not_reported,not_reported,not_reported,10,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He heating atmosphere; He flow, rate not reported",not_reported,Fresh catalyst heated to growth temperature in He.
P003_FE_MO05,P003_FE_MO05_GROWTH,2,growth,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,850,not_reported,not_reported,30,not_reported,not_applicable,not_reported,not_reported,CH4,20 mL/min,20,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,20 mL/min,20,pure CH4,not_reported,Methane catalytic pyrolysis; 30 min product values.
P003_FE_MO05,P003_FE_MO05_COOL,3,cooling,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,not_reported,not_reported,not_reported,not_reported,not_reported,cooled to room temperature in He,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He cooling atmosphere; He flow, rate not reported",not_reported,not_reported
P003_FE_MO1,P003_FE_MO1_HEAT,1,heating,horizontal quartz tube,lab_batch,quartz,size not reported,quartz/porcelain boat at reactor center,0.15,850,not_reported,not_reported,not_reported,10,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He heating atmosphere; He flow, rate not reported",not_reported,Fresh catalyst heated to growth temperature in He.
