evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P005_0001,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMO_3H,catalyst_system,P005_NMO_3H_CAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"pp.2-6, Experimental and Tables 1-2",Tables,Ni and Mo nominal 30 wt% total; active phase controlled by O2/H2/CH4 pretreatment.,NM-O oxide; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0002,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMR_3H,catalyst_system,P005_NMR_3H_CAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"pp.2-6, Experimental and Tables 1-2",Tables,Ni and Mo nominal 30 wt% total; active phase controlled by O2/H2/CH4 pretreatment.,NM-R reduced; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0003,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMC_3H,catalyst_system,P005_NMC_3H_CAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"pp.2-6, Experimental and Tables 1-2",Tables,Ni and Mo nominal 30 wt% total; active phase controlled by O2/H2/CH4 pretreatment.,NM-C carbide; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0004,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMO_24H,catalyst_system,P005_NMO_24H_CAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"pp.2-6, Experimental and Tables 1-2",Tables,Ni and Mo nominal 30 wt% total; active phase controlled by O2/H2/CH4 pretreatment.,NM-O oxide; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0005,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMR_24H,catalyst_system,P005_NMR_24H_CAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"pp.2-6, Experimental and Tables 1-2",Tables,Ni and Mo nominal 30 wt% total; active phase controlled by O2/H2/CH4 pretreatment.,NM-R reduced; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0006,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMC_24H,catalyst_system,P005_NMC_24H_CAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"pp.2-6, Experimental and Tables 1-2",Tables,Ni and Mo nominal 30 wt% total; active phase controlled by O2/H2/CH4 pretreatment.,NM-C carbide; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0007,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMO_3H,reactor_process_gas,P005_NMO_3H_PRETREAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"p.2, Pretreatment of catalyst",not_reported,"Oxide precursor treated under O2, H2, or CH4 at 100 mL/min; 700 C for 1 h.","pretreatment; 700; O2 pretreatment; O2 100 mL/min, 700 C, 1 h",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0008,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMO_3H,reactor_process_gas,P005_NMO_3H_GROWTH,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,pp.2-3 Production process; stability section,not_reported,"60% CH4/40% CO2 at 400 mL/min and 800 C; GHSV 48,000; 3 h.",growth; 800; CH4:CO2=1.5:1; Activity/stability test for 3 h.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0009,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMO_3H,reactor_process_gas,P005_NMO_3H_COOL,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"p.3, Production process",not_reported,Cooled under inert He after run.,cooling; He cooling,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P005_0010,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_NMR_3H,reactor_process_gas,P005_NMR_3H_PRETREAT,record_level,record_support,reported,Experimental; Tables 1-8; Figs. 1-12,"p.2, Pretreatment of catalyst",not_reported,"Oxide precursor treated under O2, H2, or CH4 at 100 mL/min; 700 C for 1 h.","pretreatment; 700; H2 pretreatment; H2 100 mL/min, 700 C, 1 h",high,not_applicable,migrated_from_v0.3_row_evidence
