run_id,process_stage_id,stage_order,stage_type,reactor_type,scale_level,reactor_material,reactor_size_summary,reactor_setup_summary,catalyst_loading_mass_g,temperature_setpoint_C,temperature_range_reported_C,temperature_program_summary,holding_time_min,heating_rate_C_min,cooling_condition,pressure_original,pressure_kPa,carbon_source,carbon_source_flow_original,carbon_source_flow_sccm,reducing_gas,reducing_gas_flow_original,reducing_gas_flow_sccm,inert_gas,inert_gas_flow_original,inert_gas_flow_sccm,cofeed_or_reactive_gas,cofeed_flow_original,cofeed_flow_sccm,total_flow_original,total_flow_sccm,gas_composition_summary,GHSV_or_residence_time,process_note
P005_NMO_3H,P005_NMO_3H_PRETREAT,1,pretreatment,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID; 100 mm quartz boat,quartz/porcelain boat at reactor center,0.5,700,not_reported,not_reported,60,5,not_applicable,ambient,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,O2,O2 100 mL/min,2,100 mL/min,100,O2 pretreatment; O2 100 mL/min,not_reported,"O2 100 mL/min, 700 C, 1 h"
P005_NMO_3H,P005_NMO_3H_GROWTH,2,growth,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.5,800,not_reported,not_reported,180,not_reported,not_applicable,ambient,101.325,CH4,240.0 mL/min,240.0,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,CO2,CO2 40 vol%,not_reported,400 mL/min,400,CH4:CO2=1.5:1; CO2 40 vol%,"48,000 mL/g-h",Activity/stability test for 3 h.
P005_NMO_3H,P005_NMO_3H_COOL,3,cooling,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.5,not_reported,not_reported,not_reported,not_reported,not_reported,cooled under He 50 mL/min,ambient,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,He 50 mL/min,50,not_reported,not_reported,not_reported,50 mL/min,50,He cooling; He 50 mL/min,not_reported,not_reported
P005_NMR_3H,P005_NMR_3H_PRETREAT,1,pretreatment,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID; 100 mm quartz boat,quartz/porcelain boat at reactor center,0.5,700,not_reported,not_reported,60,5,not_applicable,ambient,101.325,not_applicable,not_reported,not_reported,H2,100 mL/min,100,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,100 mL/min,100,H2 pretreatment,not_reported,"H2 100 mL/min, 700 C, 1 h"
P005_NMR_3H,P005_NMR_3H_GROWTH,2,growth,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.5,800,not_reported,not_reported,180,not_reported,not_applicable,ambient,101.325,CH4,240.0 mL/min,240.0,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,CO2,CO2 40 vol%,not_reported,400 mL/min,400,CH4:CO2=1.5:1; CO2 40 vol%,"48,000 mL/g-h",Activity/stability test for 3 h.
P005_NMR_3H,P005_NMR_3H_COOL,3,cooling,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.5,not_reported,not_reported,not_reported,not_reported,not_reported,cooled under He 50 mL/min,ambient,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,He 50 mL/min,50,not_reported,not_reported,not_reported,50 mL/min,50,He cooling; He 50 mL/min,not_reported,not_reported
P005_NMC_3H,P005_NMC_3H_PRETREAT,1,pretreatment,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID; 100 mm quartz boat,quartz/porcelain boat at reactor center,0.5,700,not_reported,not_reported,60,5,not_applicable,ambient,101.325,CH4,100 mL/min,100,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,100 mL/min,100,CH4 pretreatment,not_reported,"CH4 100 mL/min, 700 C, 1 h"
P005_NMC_3H,P005_NMC_3H_GROWTH,2,growth,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.5,800,not_reported,not_reported,180,not_reported,not_applicable,ambient,101.325,CH4,240.0 mL/min,240.0,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,CO2,CO2 40 vol%,not_reported,400 mL/min,400,CH4:CO2=1.5:1; CO2 40 vol%,"48,000 mL/g-h",Activity/stability test for 3 h.
P005_NMC_3H,P005_NMC_3H_COOL,3,cooling,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.5,not_reported,not_reported,not_reported,not_reported,not_reported,cooled under He 50 mL/min,ambient,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,He 50 mL/min,50,not_reported,not_reported,not_reported,50 mL/min,50,He cooling; He 50 mL/min,not_reported,not_reported
P005_NMO_24H,P005_NMO_24H_PRETREAT,1,pretreatment,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID; 100 mm quartz boat,quartz/porcelain boat at reactor center,0.2,700,not_reported,not_reported,60,5,not_applicable,ambient,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,O2,O2 100 mL/min,2,100 mL/min,100,O2 pretreatment; O2 100 mL/min,not_reported,"O2 100 mL/min, 700 C, 1 h"
P005_NMO_24H,P005_NMO_24H_GROWTH,2,growth,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.2,800,not_reported,not_reported,1440,not_reported,not_applicable,ambient,101.325,CH4,96.0 mL/min,96.0,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,CO2,CO2 40 vol%,not_reported,160 mL/min,160,CH4:CO2=1.5:1; CO2 40 vol%,"48,000 mL/g-h",Activity/stability test for 24 h.
P005_NMO_24H,P005_NMO_24H_COOL,3,cooling,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,26 mm ID,quartz/porcelain boat at reactor center,0.2,not_reported,not_reported,not_reported,not_reported,not_reported,cooled under He 50 mL/min,ambient,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,He 50 mL/min,50,not_reported,not_reported,not_reported,50 mL/min,50,He cooling; He 50 mL/min,not_reported,not_reported
