evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P006_0001,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T700_R15_3H,catalyst_system,P006_T700_R15_3H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0002,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T800_R15_3H,catalyst_system,P006_T800_R15_3H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0003,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T900_R15_3H,catalyst_system,P006_T900_R15_3H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0004,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T1000_R15_3H,catalyst_system,P006_T1000_R15_3H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0005,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T1100_R15_3H,catalyst_system,P006_T1100_R15_3H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0006,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T800_R10_3H,catalyst_system,P006_T800_R10_3H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0007,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T800_R05_3H,catalyst_system,P006_T800_R05_3H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0008,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T800_R15_20H,catalyst_system,P006_T800_R15_20H_CAT,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-6, Experimental and catalyst characterization",not_reported,"Wet impregnation, calcination, then H2 reduction.",NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0009,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T700_R15_3H,reactor_process_gas,P006_T700_R15_3H_REDUCTION,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"p.3, Catalytic evaluation",not_reported,Heated to 1000 C at 10 C/min under H2 75 mL/min.,reduction; 1000; H2 reduction; H2 activation before reaction.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P006_0010,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_T700_R15_3H,reactor_process_gas,P006_T700_R15_3H_GROWTH,record_level,record_support,reported,Experimental; Tables 2-5; Figs. 4-9,"pp.3-4, Catalytic evaluation",not_reported,"CH4:CO2=1.5:1, total 400 mL/min across 0.5 g catalyst at 700 C for 3 h.",growth; 700; CH4:CO2=1.5:1; Temperature-series run.,high,not_applicable,migrated_from_v0.3_row_evidence
