run_id,process_stage_id,stage_order,stage_type,reactor_type,scale_level,reactor_material,reactor_size_summary,reactor_setup_summary,catalyst_loading_mass_g,temperature_setpoint_C,temperature_range_reported_C,temperature_program_summary,holding_time_min,heating_rate_C_min,cooling_condition,pressure_original,pressure_kPa,carbon_source,carbon_source_flow_original,carbon_source_flow_sccm,reducing_gas,reducing_gas_flow_original,reducing_gas_flow_sccm,inert_gas,inert_gas_flow_original,inert_gas_flow_sccm,cofeed_or_reactive_gas,cofeed_flow_original,cofeed_flow_sccm,total_flow_original,total_flow_sccm,gas_composition_summary,GHSV_or_residence_time,process_note
P006_T700_R15_3H,P006_T700_R15_3H_REDUCTION,1,reduction,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm; quartz boat 2 x 3 x 10 cm,quartz/porcelain boat at reactor center,0.5,1000,not_reported,not_reported,not_reported,10,not_applicable,atmospheric,101.325,not_applicable,not_reported,not_reported,H2,75 mL/min,75,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,75 mL/min,75,H2 reduction,not_reported,H2 activation before reaction.
P006_T700_R15_3H,P006_T700_R15_3H_GROWTH,2,growth,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm,quartz/porcelain boat at reactor center,0.5,700,not_reported,not_reported,180,not_reported,not_applicable,atmospheric,101.325,CH4,240.0 mL/min,240.0,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,CO2,CO2 160.0 mL/min,2,400 mL/min,400,CH4:CO2=1.5:1; CO2 160.0 mL/min,"48,000 mL/g-h",Temperature-series run.
P006_T700_R15_3H,P006_T700_R15_3H_COOL,3,cooling,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm,quartz/porcelain boat at reactor center,0.5,not_reported,not_reported,not_reported,not_reported,not_reported,cooled to room temperature under He,atmospheric,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He cooling; He flow, rate not reported",not_reported,not_reported
P006_T800_R15_3H,P006_T800_R15_3H_REDUCTION,1,reduction,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm; quartz boat 2 x 3 x 10 cm,quartz/porcelain boat at reactor center,0.5,1000,not_reported,not_reported,not_reported,10,not_applicable,atmospheric,101.325,not_applicable,not_reported,not_reported,H2,75 mL/min,75,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,75 mL/min,75,H2 reduction,not_reported,H2 activation before reaction.
P006_T800_R15_3H,P006_T800_R15_3H_GROWTH,2,growth,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm,quartz/porcelain boat at reactor center,0.5,800,not_reported,not_reported,180,not_reported,not_applicable,atmospheric,101.325,CH4,240.0 mL/min,240.0,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,CO2,CO2 160.0 mL/min,2,400 mL/min,400,CH4:CO2=1.5:1; CO2 160.0 mL/min,"48,000 mL/g-h",Temperature-series run.
P006_T800_R15_3H,P006_T800_R15_3H_COOL,3,cooling,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm,quartz/porcelain boat at reactor center,0.5,not_reported,not_reported,not_reported,not_reported,not_reported,cooled to room temperature under He,atmospheric,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He cooling; He flow, rate not reported",not_reported,not_reported
P006_T900_R15_3H,P006_T900_R15_3H_REDUCTION,1,reduction,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm; quartz boat 2 x 3 x 10 cm,quartz/porcelain boat at reactor center,0.5,1000,not_reported,not_reported,not_reported,10,not_applicable,atmospheric,101.325,not_applicable,not_reported,not_reported,H2,75 mL/min,75,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,75 mL/min,75,H2 reduction,not_reported,H2 activation before reaction.
P006_T900_R15_3H,P006_T900_R15_3H_GROWTH,2,growth,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm,quartz/porcelain boat at reactor center,0.5,900,not_reported,not_reported,180,not_reported,not_applicable,atmospheric,101.325,CH4,240.0 mL/min,240.0,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,CO2,CO2 160.0 mL/min,2,400 mL/min,400,CH4:CO2=1.5:1; CO2 160.0 mL/min,"48,000 mL/g-h",Temperature-series run.
P006_T900_R15_3H,P006_T900_R15_3H_COOL,3,cooling,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm,quartz/porcelain boat at reactor center,0.5,not_reported,not_reported,not_reported,not_reported,not_reported,cooled to room temperature under He,atmospheric,101.325,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,He,"He flow, rate not reported",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,"He cooling; He flow, rate not reported",not_reported,not_reported
P006_T1000_R15_3H,P006_T1000_R15_3H_REDUCTION,1,reduction,fixed-bed horizontal quartz tube,lab_fixed_bed,quartz,25.3 mm ID x 110 cm; quartz boat 2 x 3 x 10 cm,quartz/porcelain boat at reactor center,0.5,1000,not_reported,not_reported,not_reported,10,not_applicable,atmospheric,101.325,not_applicable,not_reported,not_reported,H2,75 mL/min,75,not_applicable,not_reported,not_reported,not_reported,not_reported,not_reported,75 mL/min,75,H2 reduction,not_reported,H2 activation before reaction.
