source_id,priority_tier,production_lane,batch_id,metadata_enrichment_status,candidate_url,access_type,download_status,attempt_count,local_path,sha256,parse_status,fulltext_relevance_status,failure_reason,queue_priority
P003_Pan_2025_FeMo_MgO_Methane_CNT,A,A,A_01,not_required_frozen_screening,,local_existing,local_existing,0,data/raw/papers/d4cp04231j.pdf,064eb3de44b04aaea9de96d60dce730c545b28150888824c4407c32de384bb62,success,candidate_extract,,1
P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,A,A,A_01,not_required_frozen_screening,,local_existing,local_existing,0,data/raw/papers/s41598-023-38436-8.pdf,24784de4ec30ba595906818cf304c7c9f9c0cf2412bc6365a7c280738d7ddc92,success,candidate_extract,,2
P006_Saetang_2024_NiMo_MgO_Biogas_CNT,A,A,A_01,not_required_frozen_screening,,local_existing,local_existing,0,data/raw/papers/s41598-024-66938-6.pdf,2ded82b09377b14fc6a464fd35b4eaa666d98ca2610ac9a0fbd7229e6e2742f2,success,candidate_extract,,3
P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,A,A,A_01,not_required_frozen_screening,,local_existing,local_existing,0,data/raw/papers/s41598-023-48456-z.pdf,4eb86a0991b916e259a6e7e7b00d7575e61274c5a2a6b40da91fe25f859d34fe,success,candidate_extract,,4
P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,A,A,A_01,not_required_frozen_screening,,local_existing,local_existing,0,data/raw/papers/s41598-022-19638-y.pdf,b8c91dc2e5d2145553bd05cb14326cd493a2fad57daa86110864f4c2c529943c,success,candidate_extract,,5
LIT_2C6CFB8A985F3106,A,A,A_01,not_required_frozen_screening,https://doi.org/10.1016/j.rinp.2017.10.001,legal_oa,blocked,2,,,skipped,needs_fulltext_review,http_403,6
LIT_3D8F9EFA937173D0,A,A,A_01,not_required_frozen_screening,https://doi.org/10.1016/j.jscs.2016.05.001,legal_oa,validated,3,data/raw/fulltext/pdf/LIT_3D8F9EFA937173D0_980d716919cc.pdf,980d716919cc110c8dcdd7bba8df4469b41917949e7eaa38e20fee2b0b98ba54,success,candidate_extract,,7
LIT_57A5BA30642FEA0F,A,A,A_01,not_required_frozen_screening,https://www.frontiersin.org/articles/10.3389/fenrg.2018.00137/pdf,legal_oa,validated,1,data/raw/fulltext/pdf/LIT_57A5BA30642FEA0F_952c6da22d57.pdf,952c6da22d578ae0c3851d8cbc55baa14abb64ee54aeefd6beb0a304518b1df0,success,insufficient_experimental_evidence,,8
LIT_2CF0B62FD0879B1A,A,A,A_01,not_required_frozen_screening,https://hull-repository.worktribe.com/output/549988,legal_oa,paywalled,2,,,skipped,needs_fulltext_review,html_landing_page_not_fulltext,9
LIT_1C53CDD04C7F51D9,A,A,A_01,not_required_frozen_screening,http://ir.ipe.ac.cn/handle/122111/3506,legal_oa,paywalled,2,,,skipped,needs_fulltext_review,html_landing_page_not_fulltext,10
LIT_39F3A33F8EF32BBD,A,A,A_01,not_required_frozen_screening,https://downloads.hindawi.com/journals/jnt/2014/547030.pdf,legal_oa,blocked,2,,,skipped,needs_fulltext_review,http_403,11
LIT_AB19A8D536DD7DF2,A,A,A_01,not_required_frozen_screening,https://ars.els-cdn.com/content/image/1-s2.0-S156673672300105X-ga1_lrg.jpg,legal_oa,validated,2,data/raw/fulltext/pdf/LIT_AB19A8D536DD7DF2_569e5348c49a.pdf,569e5348c49a65d69e7b65444c05a95a14a691a6acb845c6416153d7f95aff0d,success,insufficient_experimental_evidence,,12
LIT_849AD7FB325763D1,A,A,A_01,not_required_frozen_screening,https://nanoscalereslett.springeropen.com/counter/pdf/10.1186/1556-276X-7-102,legal_oa,validated,1,data/raw/fulltext/pdf/LIT_849AD7FB325763D1_2016a474a858.pdf,2016a474a858c54a2e2aa3c5296b151dbf14318dea1a258abf889ec398451650,success,candidate_extract,,13
LIT_1D29A53AB15BB0B9,A,A,A_01,not_required_frozen_screening,https://research-information.bris.ac.uk/files/218671000/Manuscript_CI_Lin.et.al.2019_Optimization_of_CNTs.pdf,legal_oa,paywalled,2,,,skipped,needs_fulltext_review,html_landing_page_not_fulltext,14
LIT_3D2FAA624663FA97,A,A,A_01,not_required_frozen_screening,http://www.doiserbia.nb.rs/ft.aspx?id=1451-93720904263R,legal_oa,validated,3,data/raw/fulltext/pdf/LIT_3D2FAA624663FA97_1e9b942be324.pdf,1e9b942be3244ad6e3c12d4c1a49d31ad87db274ed36e0eb598f1950c7be3cd4,success,candidate_extract,,15
LIT_63D8BEBA898137D6,A,A,A_01,not_required_frozen_screening,http://ir.ipe.ac.cn/handle/122111/2731,legal_oa,paywalled,1,,,skipped,needs_fulltext_review,html_landing_page_not_fulltext,16
LIT_401BD476DB8344E9,A,A,A_01,not_required_frozen_screening,https://www.mdpi.com/2305-7084/6/4/47/pdf?version=1656305939,legal_oa,validated,2,data/raw/fulltext/pdf/LIT_401BD476DB8344E9_c5509cc9f27c.pdf,c5509cc9f27cc3c9d42deedfa81f2156c960a3fe6da1e0ed71a1a1d8b247ab40,success,candidate_extract,,17
LIT_A2A3774653FE8DDC,A,A,A_01,not_required_frozen_screening,https://downloads.hindawi.com/archive/2011/684748.pdf,legal_oa,blocked,1,,,skipped,needs_fulltext_review,http_403,18
LIT_B6DA758AB9D1C00B,A,A,A_01,not_required_frozen_screening,https://www.oatext.com/pdf/FNN-3-156.pdf,legal_oa,validated,1,data/raw/fulltext/pdf/LIT_B6DA758AB9D1C00B_faf738762392.pdf,faf73876239254b777d6e910f6d1fd1ecc745f30e6dfa865e4cea900584ae770,success,insufficient_experimental_evidence,,19
LIT_70D04C497CE224FD,A,A,A_01,not_required_frozen_screening,https://iopscience.iop.org/article/10.1088/2053-1591/ac327b/pdf,legal_oa,paywalled,1,,,skipped,needs_fulltext_review,html_landing_page_not_fulltext,20
LIT_A590E23A531DD9BE,A,A,A_01,not_required_frozen_screening,http://hdl.handle.net/10539/8170,legal_oa,validated,1,data/raw/fulltext/pdf/LIT_A590E23A531DD9BE_68c0bb0c6778.pdf,68c0bb0c6778226c24f0a75d21ed32fc9102e1642f5f2eac4b7cc81120d0de3c,success,candidate_extract,,21
LIT_02606F92F0B40447,A,A,A_01,not_required_frozen_screening,http://hdl.handle.net/10539/11348,legal_oa,validated,1,data/raw/fulltext/pdf/LIT_02606F92F0B40447_5a652c09254e.pdf,5a652c09254e6a7961d1ac117f538a62b4815cd299179976873baa9e32eb50a5,success,candidate_extract,,22
