fulltext_id,source_id,doi,title,fulltext_type,fulltext_url,local_path,fetch_status,failure_reason,content_hash,content_bytes,media_type,http_status,url_source,content_scope,validation_note,is_primary,acquisition_step,version_type,version_relation,related_source_id,created_at,updated_at,last_checked_at
FT_BCA11C955957986469A9,LIT_004FAE25B3DA5255,10.11159/icnfa19.154,Synthesis of Carbon Nanotubes from Polymer Waste,pdf,https://www.avestia.com/NewTech2019_Proceedings/files/paper/ICNFA/ICNFA_154.pdf,data/raw/fulltext/pdf/LIT_004FAE25B3DA5255_15c2ab158c74.pdf,success,,15c2ab158c74bb8a59d06bdcb31e14109349574e5f4630721141178d3f48c1ec,517224,application/pdf,200,openalex,fulltext,PDF signature validated; requested_url=https://doi.org/10.11159/icnfa19.154; deduplicated_by_hash=False,1,0,unknown_legacy,not_assessed,,2026-07-16T04:53:43Z,2026-07-16T04:53:43Z,2026-07-16T04:53:43Z
FT_8F3A3D3FDBC3CE188350,LIT_00B1AFE15BF0DB4E,10.3390/nano14090763,Investigation of Field Emission Properties of Carbon Nanotube Arrays of Different Morphologies,html,https://pmc.ncbi.nlm.nih.gov/articles/PMC11085469/,data/raw/fulltext/html/LIT_00B1AFE15BF0DB4E_182bb5d6b796.html,success,,182bb5d6b7963195b11ef321e11ae127e9f3815e8326a35af27d5d0d090f2557,215478,text/html; charset=utf-8,200,unpaywall.oa_locations[1],fulltext,visible_chars=57759; scholarly_markers=6; article_tag=True; requested_url=https://www.ncbi.nlm.nih.gov/pmc/articles/11085469; deduplicated_by_hash=False,1,0,unknown_legacy,not_assessed,,2026-07-16T05:03:46Z,2026-07-16T05:03:46Z,2026-07-16T05:03:46Z
FT_7DDCB7C54A4504B57D2F,LIT_00B1AFE15BF0DB4E,10.3390/nano14090763,Investigation of Field Emission Properties of Carbon Nanotube Arrays of Different Morphologies,html,https://doaj.org/article/dfe0fab0d5ed4054a81fffcd617ca912,,failed,http_403,,0,text/html; charset=UTF-8,403,unpaywall.oa_locations[2],unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:03:47Z,2026-07-16T05:03:47Z,2026-07-16T05:03:47Z
FT_39191D4475D879401896,LIT_00B1AFE15BF0DB4E,10.3390/nano14090763,Investigation of Field Emission Properties of Carbon Nanotube Arrays of Different Morphologies,html,https://doi.org/10.3390/nano14090763,,failed,http_403,,0,text/html,403,unpaywall.best_oa_location,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:03:42Z,2026-07-16T05:03:42Z,2026-07-16T05:03:42Z
FT_325424FF33395DDA4A1F,LIT_00B1AFE15BF0DB4E,10.3390/nano14090763,Investigation of Field Emission Properties of Carbon Nanotube Arrays of Different Morphologies,pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11085469/pdf/nanomaterials-14-00763.pdf,,skipped,html_landing_page_not_fulltext,,0,text/html; charset=utf-8,200,unpaywall.oa_locations[1],landing_page,visible_chars=86; scholarly_markers=0; article_tag=False,0,0,unknown_legacy,not_assessed,,2026-07-16T05:03:41Z,2026-07-16T05:03:41Z,2026-07-16T05:03:41Z
FT_33F148D3622FB1092B76,LIT_00B1AFE15BF0DB4E,10.3390/nano14090763,Investigation of Field Emission Properties of Carbon Nanotube Arrays of Different Morphologies,pdf,https://www.mdpi.com/2079-4991/14/9/763/pdf?version=1714123786,,failed,http_403,,0,text/html,403,openalex,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:03:41Z,2026-07-16T05:03:41Z,2026-07-16T05:03:41Z
FT_AE834F6789D01887D3F8,LIT_010B9BF252F13139,10.1021/acsnano.4c15449,"Measurement of High Carbon Nanotube Growth Rate, Mass Production, Agglomeration, and Length in a Floating Catalyst Chemical Vapor Deposition Reactor",pdf,https://api.repository.cam.ac.uk/server/api/core/bitstreams/f0840eba-672b-45f6-912c-207929bdd060/content,data/raw/fulltext/pdf/LIT_010B9BF252F13139_42df7ef02687.pdf,success,,42df7ef02687b8e60a5fd09b6eafeb864898805c8c167c4908d1fd350894cc17,9929824,application/pdf;charset=UTF-8,200,unpaywall.oa_locations[1],fulltext,PDF signature validated; requested_url=https://www.repository.cam.ac.uk/bitstreams/f0840eba-672b-45f6-912c-207929bdd060/download; deduplicated_by_hash=False,1,0,unknown_legacy,not_assessed,,2026-07-16T04:25:29Z,2026-07-16T04:25:29Z,2026-07-16T04:25:29Z
FT_665E08251DFFCBBEE29A,LIT_010B9BF252F13139,10.1021/acsnano.4c15449,"Measurement of High Carbon Nanotube Growth Rate, Mass Production, Agglomeration, and Length in a Floating Catalyst Chemical Vapor Deposition Reactor",pdf,https://pubs.acs.org/doi/pdf/10.1021/acsnano.4c15449?ref=article_openPDF,,failed,http_403,,0,text/html; charset=UTF-8,403,openalex,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T04:25:19Z,2026-07-16T04:25:19Z,2026-07-16T04:25:19Z
FT_8E6DF30C829CA9024D47,LIT_02606F92F0B40447,,CVD synthesis of nitrogen doped carbon nanotubes using iron pentacarbonyl as catalyst,pdf,https://wiredspace.wits.ac.za/server/api/core/bitstreams/1223d28e-a8cd-4184-b8cd-e8ded244e73d/content,data/raw/fulltext/pdf/LIT_02606F92F0B40447_5a652c09254e.pdf,success,,5a652c09254e6a7961d1ac117f538a62b4815cd299179976873baa9e32eb50a5,1980364,application/pdf;charset=UTF-8,200,openalex:html_discovery,fulltext,PDF signature validated; requested_url=https://wiredspace.wits.ac.za/bitstreams/1223d28e-a8cd-4184-b8cd-e8ded244e73d/download; deduplicated_by_hash=False,1,0,unknown_legacy,not_assessed,,2026-07-16T04:05:19Z,2026-07-16T04:05:19Z,2026-07-16T04:05:19Z
FT_FB73410E1E67039CCCDF,LIT_02606F92F0B40447,,CVD synthesis of nitrogen doped carbon nanotubes using iron pentacarbonyl as catalyst,pdf,http://hdl.handle.net/10539/11348,,skipped,html_landing_page_not_fulltext,,0,text/html; charset=utf-8,200,openalex,landing_page,visible_chars=2052; scholarly_markers=3; article_tag=False,0,0,unknown_legacy,not_assessed,,2026-07-16T04:05:12Z,2026-07-16T04:05:12Z,2026-07-16T04:05:12Z
FT_1C8816CD2EAC71BC76C9,LIT_02AF728DA15F27C8,10.1155/2013/785160,Carbon Nanotubes Synthesis via Arc Discharge with a Yttria Catalyst,html,https://doi.org/10.1155/2013/785160,,failed,http_403,,0,text/html; charset=UTF-8,403,unpaywall.best_oa_location,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:31:51Z,2026-07-16T05:31:51Z,2026-07-16T05:31:51Z
FT_B601D6626298BF341FF0,LIT_02AF728DA15F27C8,10.1155/2013/785160,Carbon Nanotubes Synthesis via Arc Discharge with a Yttria Catalyst,pdf,https://downloads.hindawi.com/archive/2013/785160.pdf,,failed,http_403,,0,text/html; charset=UTF-8,403,openalex,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:31:50Z,2026-07-16T05:31:50Z,2026-07-16T05:31:50Z
